(0.433, 1.331, 0.009)
 (0.405, 1.340, 0.009)
 (0.376, 1.348, 0.009)
 (0.348, 1.356, 0.009)
 (0.320, 1.363, 0.010)
 (0.291, 1.369, 0.010)
 (0.262, 1.375, 0.010)
 (0.233, 1.380, 0.010)
 (0.205, 1.385, 0.010)
 (0.175, 1.389, 0.010)
 (0.146, 1.392, 0.010)
 (0.117, 1.395, 0.010)
 (0.088, 1.397, 0.010)
 (0.059, 1.399, 0.010)
 (0.029, 1.400, 0.010)
 (-0.000, 1.400, 0.010)
 (-0.029, 1.400, 0.011)
 (-0.059, 1.399, 0.011)
 (-0.088, 1.397, 0.011)
 (-0.117, 1.395, 0.011)
 (-0.146, 1.392, 0.011)
 (-0.175, 1.389, 0.011)
 (-0.205, 1.385, 0.012)
 (-0.233, 1.380, 0.012)
 (-0.262, 1.375, 0.012)
 (-0.291, 1.369, 0.012)
 (-0.320, 1.363, 0.013)
 (-0.348, 1.356, 0.013)
 (-0.376, 1.348, 0.013)
 (-0.405, 1.340, 0.014)
 (-0.433, 1.331, 0.014)
 (-0.460, 1.322, 0.014)
 (-0.488, 1.312, 0.015)
 (-0.515, 1.302, 0.015)
 (-0.543, 1.291, 0.015)
 (-0.569, 1.279, 0.016)
 (-0.596, 1.267, 0.016)
 (-0.622, 1.254, 0.017)
 (-0.649, 1.241, 0.017)
 (-0.674, 1.227, 0.018)
 (-0.700, 1.212, 0.018)
 (-0.725, 1.198, 0.019)
 (-0.750, 1.182, 0.020)
 (-0.775, 1.166, 0.020)
 (-0.799, 1.150, 0.021)
 (-0.823, 1.133, 0.022)
 (-0.846, 1.115, 0.022)
 (-0.870, 1.097, 0.023)
 (-0.892, 1.079, 0.024)
 (-0.915, 1.060, 0.025)
 (-0.937, 1.040, 0.026)
 (-0.958, 1.021, 0.027)
 (-0.980, 1.000, 0.028)
 (-1.000, 0.980, 0.029)
 (-1.021, 0.958, 0.030)
 (-1.040, 0.937, 0.031)
 (-1.060, 0.915, 0.032)
 (-1.079, 0.892, 0.033)
 (-1.097, 0.870, 0.035)
 (-1.115, 0.846, 0.036)
 (-1.133, 0.823, 0.038)
 (-1.150, 0.799, 0.039)
 (-1.166, 0.775, 0.041)
 (-1.182, 0.750, 0.042)
 (-1.198, 0.725, 0.044)
 (-1.212, 0.700, 0.046)
 (-1.227, 0.674, 0.048)
 (-1.241, 0.649, 0.050)
 (-1.254, 0.622, 0.052)
 (-1.267, 0.596, 0.054)
 (-1.279, 0.569, 0.057)
 (-1.291, 0.543, 0.059)
 (-1.302, 0.515, 0.062)
 (-1.312, 0.488, 0.064)
 (-1.322, 0.460, 0.067)
 (-1.331, 0.433, 0.070)
 (-1.340, 0.405, 0.073)
 (-1.348, 0.376, 0.076)
 (-1.356, 0.348, 0.079)
 (-1.363, 0.320, 0.083)
 (-1.369, 0.291, 0.086)
 (-1.375, 0.262, 0.090)
 (-1.380, 0.233, 0.094)
 (-1.385, 0.205, 0.097)
 (-1.389, 0.175, 0.102)
 (-1.392, 0.146, 0.106)
 (-1.395, 0.117, 0.110)
