(1.000, 0.000, 0.009)
 (1.000, 0.021, 0.009)
 (0.999, 0.042, 0.009)
 (0.998, 0.063, 0.009)
 (0.996, 0.084, 0.010)
 (0.995, 0.105, 0.010)
 (0.992, 0.125, 0.010)
 (0.989, 0.146, 0.010)
 (0.986, 0.167, 0.010)
 (0.982, 0.187, 0.010)
 (0.978, 0.208, 0.010)
 (0.974, 0.228, 0.010)
 (0.969, 0.249, 0.010)
 (0.963, 0.269, 0.010)
 (0.957, 0.289, 0.010)
 (0.951, 0.309, 0.010)
 (0.944, 0.329, 0.011)
 (0.937, 0.349, 0.011)
 (0.930, 0.368, 0.011)
 (0.922, 0.388, 0.011)
 (0.914, 0.407, 0.011)
 (0.905, 0.426, 0.011)
 (0.896, 0.445, 0.012)
 (0.886, 0.463, 0.012)
 (0.876, 0.482, 0.012)
 (0.866, 0.500, 0.012)
 (0.855, 0.518, 0.013)
 (0.844, 0.536, 0.013)
 (0.833, 0.553, 0.013)
 (0.821, 0.571, 0.014)
 (0.809, 0.588, 0.014)
 (0.797, 0.605, 0.014)
 (0.784, 0.621, 0.015)
 (0.771, 0.637, 0.015)
 (0.757, 0.653, 0.015)
 (0.743, 0.669, 0.016)
 (0.729, 0.685, 0.016)
 (0.714, 0.700, 0.017)
 (0.700, 0.714, 0.017)
 (0.685, 0.729, 0.018)
 (0.669, 0.743, 0.018)
 (0.653, 0.757, 0.019)
 (0.637, 0.771, 0.020)
 (0.621, 0.784, 0.020)
 (0.605, 0.797, 0.021)
 (0.588, 0.809, 0.022)
 (0.571, 0.821, 0.022)
 (0.553, 0.833, 0.023)
 (0.536, 0.844, 0.024)
 (0.518, 0.855, 0.025)
 (0.500, 0.866, 0.026)
 (0.482, 0.876, 0.027)
 (0.463, 0.886, 0.028)
 (0.445, 0.896, 0.029)
 (0.426, 0.905, 0.030)
 (0.407, 0.914, 0.031)
 (0.388, 0.922, 0.032)
 (0.368, 0.930, 0.033)
 (0.349, 0.937, 0.035)
 (0.329, 0.944, 0.036)
 (0.309, 0.951, 0.038)
 (0.289, 0.957, 0.039)
 (0.269, 0.963, 0.041)
 (0.249, 0.969, 0.042)
 (0.228, 0.974, 0.044)
 (0.208, 0.978, 0.046)
 (0.187, 0.982, 0.048)
 (0.167, 0.986, 0.050)
 (0.146, 0.989, 0.052)
 (0.125, 0.992, 0.054)
 (0.105, 0.995, 0.057)
 (0.084, 0.996, 0.059)
 (0.063, 0.998, 0.062)
 (0.042, 0.999, 0.064)
 (0.021, 1.000, 0.067)
 (0.000, 1.000, 0.070)
 (-0.021, 1.000, 0.073)
 (-0.042, 0.999, 0.076)
 (-0.063, 0.998, 0.079)
 (-0.084, 0.996, 0.083)
 (-0.105, 0.995, 0.086)
 (-0.125, 0.992, 0.090)
 (-0.146, 0.989, 0.094)
 (-0.167, 0.986, 0.097)
 (-0.187, 0.982, 0.102)
 (-0.208, 0.978, 0.106)
 (-0.228, 0.974, 0.110)
 (-0.249, 0.969, 0.115)
 (-0.269, 0.963, 0.120)
 (-0.289, 0.957, 0.124)
 (-0.309, 0.951, 0.130)
 (-0.329, 0.944, 0.135)
 (-0.349, 0.937, 0.140)
 (-0.368, 0.930, 0.146)
 (-0.388, 0.922, 0.152)
 (-0.407, 0.914, 0.157)
 (-0.426, 0.905, 0.164)
 (-0.445, 0.896, 0.170)
 (-0.463, 0.886, 0.176)
 (-0.482, 0.876, 0.183)
 (-0.500, 0.866, 0.190)
 (-0.518, 0.855, 0.197)
 (-0.536, 0.844, 0.204)
 (-0.553, 0.833, 0.211)
 (-0.571, 0.821, 0.219)
 (-0.588, 0.809, 0.226)
 (-0.605, 0.797, 0.234)
 (-0.621, 0.784, 0.242)
 (-0.637, 0.771, 0.250)
 (-0.653, 0.757, 0.258)
 (-0.669, 0.743, 0.266)
 (-0.685, 0.729, 0.275)
 (-0.700, 0.714, 0.283)
 (-0.714, 0.700, 0.291)
 (-0.729, 0.685, 0.300)
 (-0.743, 0.669, 0.309)
 (-0.757, 0.653, 0.317)
 (-0.771, 0.637, 0.326)
 (-0.784, 0.621, 0.335)
 (-0.797, 0.605, 0.343)
 (-0.809, 0.588, 0.352)
 (-0.821, 0.571, 0.361)
 (-0.833, 0.553, 0.369)
 (-0.844, 0.536, 0.378)
 (-0.855, 0.518, 0.386)
 (-0.866, 0.500, 0.395)
 (-0.876, 0.482, 0.403)
 (-0.886, 0.463, 0.411)
 (-0.896, 0.445, 0.419)
 (-0.905, 0.426, 0.426)
 (-0.914, 0.407, 0.434)
 (-0.922, 0.388, 0.441)
 (-0.930, 0.368, 0.448)
 (-0.937, 0.349, 0.455)
 (-0.944, 0.329, 0.462)
 (-0.951, 0.309, 0.468)
 (-0.957, 0.289, 0.474)
 (-0.963, 0.269, 0.479)
 (-0.969, 0.249, 0.484)
 (-0.974, 0.228, 0.489)
 (-0.978, 0.208, 0.494)
 (-0.982, 0.187, 0.498)
 (-0.986, 0.167, 0.502)
 (-0.989, 0.146, 0.505)
 (-0.992, 0.125, 0.508)
 (-0.995, 0.105, 0.510)
 (-0.996, 0.084, 0.512)
 (-0.998, 0.063, 0.514)
 (-0.999, 0.042, 0.515)
 (-1.000, 0.021, 0.516)
 (-1.000, 0.000, 0.516)
 (-1.000, -0.021, 0.516)
 (-0.999, -0.042, 0.515)
 (-0.998, -0.063, 0.514)
 (-0.996, -0.084, 0.512)
 (-0.995, -0.105, 0.510)
 (-0.992, -0.125, 0.508)
 (-0.989, -0.146, 0.505)
 (-0.986, -0.167, 0.502)
 (-0.982, -0.187, 0.498)
 (-0.978, -0.208, 0.494)
 (-0.974, -0.228, 0.489)
 (-0.969, -0.249, 0.484)
 (-0.963, -0.269, 0.479)
 (-0.957, -0.289, 0.474)
 (-0.951, -0.309, 0.468)
 (-0.944, -0.329, 0.462)
 (-0.937, -0.349, 0.455)
 (-0.930, -0.368, 0.448)
 (-0.922, -0.388, 0.441)
 (-0.914, -0.407, 0.434)
 (-0.905, -0.426, 0.426)
 (-0.896, -0.445, 0.419)
 (-0.886, -0.463, 0.411)
 (-0.876, -0.482, 0.403)
 (-0.866, -0.500, 0.395)
 (-0.855, -0.518, 0.386)
 (-0.844, -0.536, 0.378)
 (-0.833, -0.553, 0.369)
 (-0.821, -0.571, 0.361)
 (-0.809, -0.588, 0.352)
 (-0.797, -0.605, 0.343)
 (-0.784, -0.621, 0.335)
 (-0.771, -0.637, 0.326)
 (-0.757, -0.653, 0.317)
 (-0.743, -0.669, 0.309)
 (-0.729, -0.685, 0.300)
 (-0.714, -0.700, 0.291)
 (-0.700, -0.714, 0.283)
 (-0.685, -0.729, 0.275)
 (-0.669, -0.743, 0.266)
 (-0.653, -0.757, 0.258)
 (-0.637, -0.771, 0.250)
 (-0.621, -0.784, 0.242)
 (-0.605, -0.797, 0.234)
 (-0.588, -0.809, 0.226)
 (-0.571, -0.821, 0.219)
 (-0.553, -0.833, 0.211)
 (-0.536, -0.844, 0.204)
 (-0.518, -0.855, 0.197)
 (-0.500, -0.866, 0.190)
 (-0.482, -0.876, 0.183)
