(-1.456, 1.058, 0.009)
 (-1.478, 1.027, 0.009)
 (-1.499, 0.996, 0.009)
 (-1.520, 0.964, 0.009)
 (-1.540, 0.932, 0.010)
 (-1.559, 0.900, 0.010)
 (-1.577, 0.867, 0.010)
 (-1.595, 0.834, 0.010)
 (-1.612, 0.800, 0.010)
 (-1.629, 0.766, 0.010)
 (-1.644, 0.732, 0.010)
 (-1.659, 0.698, 0.010)
 (-1.674, 0.663, 0.010)
 (-1.687, 0.627, 0.010)
 (-1.700, 0.592, 0.010)
 (-1.712, 0.556, 0.010)
 (-1.723, 0.520, 0.011)
 (-1.734, 0.484, 0.011)
 (-1.743, 0.448, 0.011)
 (-1.752, 0.411, 0.011)
 (-1.761, 0.374, 0.011)
 (-1.768, 0.337, 0.011)
 (-1.775, 0.300, 0.012)
 (-1.781, 0.263, 0.012)
 (-1.786, 0.226, 0.012)
 (-1.790, 0.188, 0.012)
 (-1.794, 0.151, 0.013)
 (-1.796, 0.113, 0.013)
 (-1.798, 0.075, 0.013)
 (-1.800, 0.038, 0.014)
 (-1.800, 0.000, 0.014)
 (-1.800, -0.038, 0.014)
 (-1.798, -0.075, 0.015)
 (-1.796, -0.113, 0.015)
 (-1.794, -0.151, 0.015)
 (-1.790, -0.188, 0.016)
 (-1.786, -0.226, 0.016)
 (-1.781, -0.263, 0.017)
 (-1.775, -0.300, 0.017)
 (-1.768, -0.337, 0.018)
 (-1.761, -0.374, 0.018)
 (-1.752, -0.411, 0.019)
 (-1.743, -0.448, 0.020)
 (-1.734, -0.484, 0.020)
 (-1.723, -0.520, 0.021)
 (-1.712, -0.556, 0.022)
 (-1.700, -0.592, 0.022)
 (-1.687, -0.627, 0.023)
 (-1.674, -0.663, 0.024)
 (-1.659, -0.698, 0.025)
 (-1.644, -0.732, 0.026)
 (-1.629, -0.766, 0.027)
 (-1.612, -0.800, 0.028)
 (-1.595, -0.834, 0.029)
 (-1.577, -0.867, 0.030)
 (-1.559, -0.900, 0.031)
 (-1.540, -0.932, 0.032)
 (-1.520, -0.964, 0.033)
