(-0.300, -0.520, 0.009)
 (-0.289, -0.526, 0.009)
 (-0.278, -0.532, 0.009)
 (-0.267, -0.537, 0.009)
 (-0.255, -0.543, 0.010)
 (-0.244, -0.548, 0.010)
 (-0.233, -0.553, 0.010)
 (-0.221, -0.558, 0.010)
 (-0.209, -0.562, 0.010)
 (-0.197, -0.567, 0.010)
 (-0.185, -0.571, 0.010)
 (-0.173, -0.574, 0.010)
 (-0.161, -0.578, 0.010)
 (-0.149, -0.581, 0.010)
 (-0.137, -0.584, 0.010)
 (-0.125, -0.587, 0.010)
 (-0.112, -0.589, 0.011)
 (-0.100, -0.592, 0.011)
 (-0.088, -0.594, 0.011)
 (-0.075, -0.595, 0.011)
 (-0.063, -0.597, 0.011)
 (-0.050, -0.598, 0.011)
 (-0.038, -0.599, 0.012)
 (-0.025, -0.599, 0.012)
 (-0.013, -0.600, 0.012)
 (-0.000, -0.600, 0.012)
 (0.013, -0.600, 0.013)
 (0.025, -0.599, 0.013)
 (0.038, -0.599, 0.013)
 (0.050, -0.598, 0.014)
 (0.063, -0.597, 0.014)
 (0.075, -0.595, 0.014)
 (0.088, -0.594, 0.015)
 (0.100, -0.592, 0.015)
 (0.112, -0.589, 0.015)
 (0.125, -0.587, 0.016)
 (0.137, -0.584, 0.016)
 (0.149, -0.581, 0.017)
 (0.161, -0.578, 0.017)
 (0.173, -0.574, 0.018)
 (0.185, -0.571, 0.018)
 (0.197, -0.567, 0.019)
 (0.209, -0.562, 0.020)
 (0.221, -0.558, 0.020)
 (0.233, -0.553, 0.021)
 (0.244, -0.548, 0.022)
 (0.255, -0.543, 0.022)
 (0.267, -0.537, 0.023)
 (0.278, -0.532, 0.024)
 (0.289, -0.526, 0.025)
 (0.300, -0.520, 0.026)
 (0.311, -0.513, 0.027)
 (0.321, -0.507, 0.028)
 (0.332, -0.500, 0.029)
 (0.342, -0.493, 0.030)
 (0.353, -0.485, 0.031)
 (0.363, -0.478, 0.032)
 (0.373, -0.470, 0.033)
 (0.382, -0.462, 0.035)
 (0.392, -0.454, 0.036)
 (0.401, -0.446, 0.038)
 (0.411, -0.437, 0.039)
 (0.420, -0.429, 0.041)
 (0.429, -0.420, 0.042)
 (0.437, -0.411, 0.044)
 (0.446, -0.401, 0.046)
 (0.454, -0.392, 0.048)
 (0.462, -0.382, 0.050)
 (0.470, -0.373, 0.052)
 (0.478, -0.363, 0.054)
 (0.485, -0.353, 0.057)
 (0.493, -0.342, 0.059)
 (0.500, -0.332, 0.062)
 (0.507, -0.321, 0.064)
 (0.513, -0.311, 0.067)
 (0.520, -0.300, 0.070)
 (0.526, -0.289, 0.073)
 (0.532, -0.278, 0.076)
 (0.537, -0.267, 0.079)
 (0.543, -0.255, 0.083)
 (0.548, -0.244, 0.086)
 (0.553, -0.233, 0.090)
 (0.558, -0.221, 0.094)
 (0.562, -0.209, 0.097)
 (0.567, -0.197, 0.102)
 (0.571, -0.185, 0.106)
 (0.574, -0.173, 0.110)
 (0.578, -0.161, 0.115)
 (0.581, -0.149, 0.120)
 (0.584, -0.137, 0.124)
 (0.587, -0.125, 0.130)
 (0.589, -0.112, 0.135)
 (0.592, -0.100, 0.140)
 (0.594, -0.088, 0.146)
 (0.595, -0.075, 0.152)
 (0.597, -0.063, 0.157)
 (0.598, -0.050, 0.164)
 (0.599, -0.038, 0.170)
 (0.599, -0.025, 0.176)
 (0.600, -0.013, 0.183)
 (0.600, -0.000, 0.190)
 (0.600, 0.013, 0.197)
 (0.599, 0.025, 0.204)
 (0.599, 0.038, 0.211)
 (0.598, 0.050, 0.219)
 (0.597, 0.063, 0.226)
 (0.595, 0.075, 0.234)
 (0.594, 0.088, 0.242)
 (0.592, 0.100, 0.250)
 (0.589, 0.112, 0.258)
 (0.587, 0.125, 0.266)
 (0.584, 0.137, 0.275)
 (0.581, 0.149, 0.283)
 (0.578, 0.161, 0.291)
 (0.574, 0.173, 0.300)
 (0.571, 0.185, 0.309)
 (0.567, 0.197, 0.317)
 (0.562, 0.209, 0.326)
 (0.558, 0.221, 0.335)
 (0.553, 0.233, 0.343)
 (0.548, 0.244, 0.352)
 (0.543, 0.255, 0.361)
 (0.537, 0.267, 0.369)
 (0.532, 0.278, 0.378)
 (0.526, 0.289, 0.386)
 (0.520, 0.300, 0.395)
 (0.513, 0.311, 0.403)
 (0.507, 0.321, 0.411)
 (0.500, 0.332, 0.419)
 (0.493, 0.342, 0.426)
 (0.485, 0.353, 0.434)
 (0.478, 0.363, 0.441)
 (0.470, 0.373, 0.448)
 (0.462, 0.382, 0.455)
 (0.454, 0.392, 0.462)
 (0.446, 0.401, 0.468)
 (0.437, 0.411, 0.474)
 (0.429, 0.420, 0.479)
 (0.420, 0.429, 0.484)
 (0.411, 0.437, 0.489)
 (0.401, 0.446, 0.494)
 (0.392, 0.454, 0.498)
 (0.382, 0.462, 0.502)
 (0.373, 0.470, 0.505)
 (0.363, 0.478, 0.508)
 (0.353, 0.485, 0.510)
 (0.342, 0.493, 0.512)
 (0.332, 0.500, 0.514)
 (0.321, 0.507, 0.515)
 (0.311, 0.513, 0.516)
 (0.300, 0.520, 0.516)
 (0.289, 0.526, 0.516)
 (0.278, 0.532, 0.515)
 (0.267, 0.537, 0.514)
 (0.255, 0.543, 0.512)
 (0.244, 0.548, 0.510)
 (0.233, 0.553, 0.508)
 (0.221, 0.558, 0.505)
 (0.209, 0.562, 0.502)
 (0.197, 0.567, 0.498)
 (0.185, 0.571, 0.494)
 (0.173, 0.574, 0.489)
 (0.161, 0.578, 0.484)
 (0.149, 0.581, 0.479)
 (0.137, 0.584, 0.474)
 (0.125, 0.587, 0.468)
 (0.112, 0.589, 0.462)
 (0.100, 0.592, 0.455)
 (0.088, 0.594, 0.448)
 (0.075, 0.595, 0.441)
 (0.063, 0.597, 0.434)
 (0.050, 0.598, 0.426)
 (0.038, 0.599, 0.419)
 (0.025, 0.599, 0.411)
 (0.013, 0.600, 0.403)
 (0.000, 0.600, 0.395)
 (-0.013, 0.600, 0.386)
 (-0.025, 0.599, 0.378)
 (-0.038, 0.599, 0.369)
 (-0.050, 0.598, 0.361)
 (-0.063, 0.597, 0.352)
 (-0.075, 0.595, 0.343)
 (-0.088, 0.594, 0.335)
 (-0.100, 0.592, 0.326)
 (-0.112, 0.589, 0.317)
 (-0.125, 0.587, 0.309)
 (-0.137, 0.584, 0.300)
 (-0.149, 0.581, 0.291)
 (-0.161, 0.578, 0.283)
 (-0.173, 0.574, 0.275)
 (-0.185, 0.571, 0.266)
 (-0.197, 0.567, 0.258)
 (-0.209, 0.562, 0.250)
 (-0.221, 0.558, 0.242)
 (-0.233, 0.553, 0.234)
 (-0.244, 0.548, 0.226)
 (-0.255, 0.543, 0.219)
 (-0.267, 0.537, 0.211)
 (-0.278, 0.532, 0.204)
 (-0.289, 0.526, 0.197)
 (-0.300, 0.520, 0.190)
 (-0.311, 0.513, 0.183)
 (-0.321, 0.507, 0.176)
 (-0.332, 0.500, 0.170)
 (-0.342, 0.493, 0.164)
 (-0.353, 0.485, 0.157)
 (-0.363, 0.478, 0.152)
 (-0.373, 0.470, 0.146)
 (-0.382, 0.462, 0.140)
 (-0.392, 0.454, 0.135)
 (-0.401, 0.446, 0.130)
 (-0.411, 0.437, 0.124)
 (-0.420, 0.429, 0.120)
 (-0.429, 0.420, 0.115)
 (-0.437, 0.411, 0.110)
 (-0.446, 0.401, 0.106)
 (-0.454, 0.392, 0.102)
 (-0.462, 0.382, 0.097)
 (-0.470, 0.373, 0.094)
 (-0.478, 0.363, 0.090)
 (-0.485, 0.353, 0.086)
 (-0.493, 0.342, 0.083)
 (-0.500, 0.332, 0.079)
 (-0.507, 0.321, 0.076)
 (-0.513, 0.311, 0.073)
 (-0.520, 0.300, 0.070)
 (-0.526, 0.289, 0.067)
 (-0.532, 0.278, 0.064)
 (-0.537, 0.267, 0.062)
 (-0.543, 0.255, 0.059)
 (-0.548, 0.244, 0.057)
 (-0.553, 0.233, 0.054)
 (-0.558, 0.221, 0.052)
 (-0.562, 0.209, 0.050)
 (-0.567, 0.197, 0.048)
 (-0.571, 0.185, 0.046)
 (-0.574, 0.173, 0.044)
 (-0.578, 0.161, 0.042)
 (-0.581, 0.149, 0.041)
 (-0.584, 0.137, 0.039)
 (-0.587, 0.125, 0.038)
 (-0.589, 0.112, 0.036)
 (-0.592, 0.100, 0.035)
 (-0.594, 0.088, 0.033)
 (-0.595, 0.075, 0.032)
 (-0.597, 0.063, 0.031)
 (-0.598, 0.050, 0.030)
 (-0.599, 0.038, 0.029)
 (-0.599, 0.025, 0.028)
 (-0.600, 0.013, 0.027)
 (-0.600, 0.000, 0.026)
 (-0.600, -0.013, 0.025)
 (-0.599, -0.025, 0.024)
 (-0.599, -0.038, 0.023)
 (-0.598, -0.050, 0.022)
 (-0.597, -0.063, 0.022)
 (-0.595, -0.075, 0.021)
 (-0.594, -0.088, 0.020)
 (-0.592, -0.100, 0.020)
 (-0.589, -0.112, 0.019)
 (-0.587, -0.125, 0.018)
 (-0.584, -0.137, 0.018)
 (-0.581, -0.149, 0.017)
 (-0.578, -0.161, 0.017)
 (-0.574, -0.173, 0.016)
