(1.000, 0.000, 0.000)
 (1.000, 0.000, 0.496)
 (1.000, 0.008, 0.499)
 (1.000, 0.016, 0.502)
 (1.000, 0.024, 0.505)
 (1.000, 0.031, 0.508)
 (0.999, 0.039, 0.511)
 (0.999, 0.047, 0.514)
 (0.998, 0.055, 0.517)
 (0.998, 0.063, 0.520)
 (0.998, 0.071, 0.524)
 (0.997, 0.078, 0.527)
 (0.996, 0.086, 0.530)
 (0.996, 0.094, 0.533)
 (0.995, 0.102, 0.536)
 (0.994, 0.110, 0.539)
 (0.993, 0.118, 0.542)
 (0.992, 0.125, 0.545)
 (0.991, 0.133, 0.549)
 (0.990, 0.141, 0.552)
 (0.989, 0.149, 0.555)
 (0.988, 0.156, 0.558)
 (0.986, 0.164, 0.561)
 (0.985, 0.172, 0.565)
 (0.984, 0.180, 0.568)
 (0.982, 0.187, 0.571)
 (0.981, 0.195, 0.574)
 (0.979, 0.203, 0.577)
 (0.978, 0.210, 0.580)
 (0.976, 0.218, 0.584)
 (0.974, 0.226, 0.587)
 (0.972, 0.233, 0.590)
 (0.971, 0.241, 0.593)
 (0.969, 0.249, 0.596)
 (0.967, 0.256, 0.599)
 (0.965, 0.264, 0.602)
 (0.962, 0.271, 0.605)
 (0.960, 0.279, 0.609)
 (0.958, 0.287, 0.612)
 (0.956, 0.294, 0.615)
 (0.953, 0.302, 0.618)
 (0.951, 0.309, 0.621)
 (0.949, 0.316, 0.624)
 (0.946, 0.324, 0.627)
 (0.944, 0.331, 0.630)
 (0.941, 0.339, 0.633)
 (0.938, 0.346, 0.635)
 (0.935, 0.353, 0.638)
 (0.933, 0.361, 0.641)
 (0.930, 0.368, 0.644)
 (0.927, 0.375, 0.647)
 (0.924, 0.383, 0.650)
 (0.921, 0.390, 0.652)
 (0.918, 0.397, 0.655)
 (0.915, 0.404, 0.658)
 (0.911, 0.412, 0.660)
 (0.908, 0.419, 0.663)
 (0.905, 0.426, 0.665)
 (0.901, 0.433, 0.668)
 (0.898, 0.440, 0.670)
 (0.895, 0.447, 0.673)
 (0.891, 0.454, 0.675)
 (0.887, 0.461, 0.678)
 (0.884, 0.468, 0.680)
 (0.880, 0.475, 0.682)
 (0.876, 0.482, 0.684)
 (0.872, 0.489, 0.687)
 (0.869, 0.495, 0.689)
 (0.865, 0.502, 0.691)
 (0.861, 0.509, 0.693)
 (0.857, 0.516, 0.695)
 (0.853, 0.522, 0.697)
