(3.500, 0.000, 0.000)
 (3.500, 0.000, 0.016)
 (3.500, 0.027, 0.017)
 (3.500, 0.055, 0.018)
 (3.499, 0.082, 0.020)
 (3.498, 0.110, 0.021)
 (3.497, 0.137, 0.023)
 (3.496, 0.165, 0.024)
 (3.495, 0.192, 0.026)
 (3.493, 0.220, 0.028)
 (3.491, 0.247, 0.030)
 (3.489, 0.275, 0.033)
 (3.487, 0.302, 0.035)
 (3.484, 0.329, 0.038)
 (3.482, 0.357, 0.041)
 (3.479, 0.384, 0.044)
 (3.476, 0.411, 0.047)
 (3.472, 0.439, 0.050)
 (3.469, 0.466, 0.054)
 (3.465, 0.493, 0.058)
 (3.461, 0.520, 0.062)
 (3.457, 0.548, 0.067)
 (3.453, 0.575, 0.072)
 (3.448, 0.602, 0.077)
 (3.443, 0.629, 0.082)
 (3.438, 0.656, 0.088)
 (3.433, 0.683, 0.094)
 (3.427, 0.710, 0.101)
 (3.422, 0.737, 0.108)
 (3.416, 0.764, 0.115)
 (3.410, 0.790, 0.123)
 (3.403, 0.817, 0.131)
 (3.397, 0.844, 0.140)
 (3.390, 0.870, 0.149)
 (3.383, 0.897, 0.159)
 (3.376, 0.924, 0.170)
 (3.369, 0.950, 0.181)
 (3.361, 0.976, 0.192)
 (3.353, 1.003, 0.204)
 (3.345, 1.029, 0.217)
 (3.337, 1.055, 0.231)
 (3.329, 1.082, 0.245)
 (3.320, 1.108, 0.260)
 (3.311, 1.134, 0.275)
 (3.302, 1.160, 0.292)
 (3.293, 1.186, 0.309)
 (3.284, 1.211, 0.327)
 (3.274, 1.237, 0.345)
 (3.264, 1.263, 0.365)
 (3.254, 1.288, 0.385)
 (3.244, 1.314, 0.406)
 (3.234, 1.339, 0.428)
 (3.223, 1.365, 0.450)
 (3.212, 1.390, 0.474)
 (3.201, 1.415, 0.498)
 (3.190, 1.440, 0.523)
 (3.179, 1.465, 0.548)
 (3.167, 1.490, 0.575)
 (3.155, 1.515, 0.602)
 (3.143, 1.540, 0.630)
 (3.131, 1.564, 0.659)
 (3.119, 1.589, 0.688)
 (3.106, 1.613, 0.718)
 (3.093, 1.638, 0.748)
 (3.080, 1.662, 0.780)
 (3.067, 1.686, 0.811)
 (3.054, 1.710, 0.843)
 (3.040, 1.734, 0.876)
 (3.026, 1.758, 0.909)
 (3.013, 1.782, 0.942)
 (2.999, 1.805, 0.975)
 (2.984, 1.829, 1.009)
 (2.970, 1.852, 1.042)
 (2.955, 1.875, 1.076)
 (2.940, 1.899, 1.109)
 (2.925, 1.922, 1.143)
 (2.910, 1.944, 1.176)
 (2.895, 1.967, 1.209)
 (2.879, 1.990, 1.241)
 (2.864, 2.013, 1.273)
 (2.848, 2.035, 1.304)
 (2.832, 2.057, 1.335)
 (2.815, 2.079, 1.365)
 (2.799, 2.101, 1.394)
 (2.782, 2.123, 1.422)
 (2.766, 2.145, 1.449)
 (2.749, 2.167, 1.475)
 (2.732, 2.188, 1.499)
 (2.714, 2.210, 1.522)
 (2.697, 2.231, 1.544)
 (2.679, 2.252, 1.565)
 (2.661, 2.273, 1.584)
 (2.643, 2.294, 1.601)
 (2.625, 2.315, 1.617)
 (2.607, 2.335, 1.631)
 (2.589, 2.356, 1.643)
 (2.570, 2.376, 1.653)
 (2.551, 2.396, 1.662)
 (2.532, 2.416, 1.669)
 (2.513, 2.436, 1.674)
 (2.494, 2.455, 1.676)
 (2.475, 2.475, 1.677)
 (2.455, 2.494, 1.676)
 (2.436, 2.513, 1.674)
 (2.416, 2.532, 1.669)
 (2.396, 2.551, 1.662)
 (2.376, 2.570, 1.653)
 (2.356, 2.589, 1.643)
 (2.335, 2.607, 1.631)
 (2.315, 2.625, 1.617)
 (2.294, 2.643, 1.601)
 (2.273, 2.661, 1.584)
 (2.252, 2.679, 1.565)
 (2.231, 2.697, 1.544)
 (2.210, 2.714, 1.522)
 (2.188, 2.732, 1.499)
 (2.167, 2.749, 1.475)
 (2.145, 2.766, 1.449)
 (2.123, 2.782, 1.422)
 (2.101, 2.799, 1.394)
 (2.079, 2.815, 1.365)
 (2.057, 2.832, 1.335)
 (2.035, 2.848, 1.304)
 (2.013, 2.864, 1.273)
 (1.990, 2.879, 1.241)
 (1.967, 2.895, 1.209)
 (1.944, 2.910, 1.176)
 (1.922, 2.925, 1.143)
 (1.899, 2.940, 1.109)
 (1.875, 2.955, 1.076)
 (1.852, 2.970, 1.042)
 (1.829, 2.984, 1.009)
 (1.805, 2.999, 0.975)
 (1.782, 3.013, 0.942)
 (1.758, 3.026, 0.909)
 (1.734, 3.040, 0.876)
 (1.710, 3.054, 0.843)
 (1.686, 3.067, 0.811)
 (1.662, 3.080, 0.780)
