(2.500, 0.000, 0.000)
 (2.500, 0.000, 0.111)
 (2.500, 0.020, 0.116)
 (2.500, 0.039, 0.120)
 (2.499, 0.059, 0.125)
 (2.499, 0.079, 0.129)
 (2.498, 0.098, 0.134)
 (2.497, 0.118, 0.139)
 (2.496, 0.137, 0.145)
 (2.495, 0.157, 0.150)
 (2.494, 0.177, 0.156)
 (2.492, 0.196, 0.162)
 (2.491, 0.216, 0.168)
 (2.489, 0.235, 0.174)
 (2.487, 0.255, 0.180)
 (2.485, 0.274, 0.187)
 (2.483, 0.294, 0.194)
 (2.480, 0.313, 0.201)
 (2.478, 0.333, 0.209)
 (2.475, 0.352, 0.216)
 (2.472, 0.372, 0.224)
 (2.469, 0.391, 0.232)
 (2.466, 0.410, 0.241)
 (2.463, 0.430, 0.249)
 (2.459, 0.449, 0.258)
 (2.456, 0.468, 0.267)
 (2.452, 0.488, 0.277)
 (2.448, 0.507, 0.287)
 (2.444, 0.526, 0.296)
 (2.440, 0.545, 0.307)
 (2.435, 0.565, 0.317)
 (2.431, 0.584, 0.328)
 (2.426, 0.603, 0.339)
 (2.421, 0.622, 0.350)
 (2.417, 0.641, 0.362)
 (2.411, 0.660, 0.374)
 (2.406, 0.679, 0.386)
 (2.401, 0.697, 0.399)
 (2.395, 0.716, 0.411)
 (2.389, 0.735, 0.424)
 (2.384, 0.754, 0.438)
 (2.378, 0.773, 0.451)
 (2.372, 0.791, 0.465)
 (2.365, 0.810, 0.479)
 (2.359, 0.828, 0.493)
 (2.352, 0.847, 0.508)
 (2.345, 0.865, 0.522)
 (2.339, 0.884, 0.537)
 (2.332, 0.902, 0.553)
 (2.324, 0.920, 0.568)
 (2.317, 0.939, 0.584)
 (2.310, 0.957, 0.599)
 (2.302, 0.975, 0.615)
 (2.294, 0.993, 0.631)
 (2.287, 1.011, 0.648)
 (2.279, 1.029, 0.664)
 (2.270, 1.047, 0.680)
 (2.262, 1.064, 0.697)
 (2.254, 1.082, 0.714)
 (2.245, 1.100, 0.730)
 (2.236, 1.117, 0.747)
 (2.228, 1.135, 0.764)
 (2.219, 1.152, 0.781)
 (2.209, 1.170, 0.798)
 (2.200, 1.187, 0.814)
 (2.191, 1.204, 0.831)
 (2.181, 1.222, 0.848)
 (2.172, 1.239, 0.864)
 (2.162, 1.256, 0.880)
 (2.152, 1.273, 0.897)
