(4.500, 0.000, 0.000)
 (4.500, 0.000, 0.001)
 (4.500, 0.035, 0.001)
 (4.499, 0.071, 0.001)
 (4.499, 0.106, 0.001)
 (4.498, 0.141, 0.002)
 (4.497, 0.177, 0.002)
 (4.495, 0.212, 0.002)
 (4.493, 0.247, 0.002)
 (4.491, 0.283, 0.003)
 (4.489, 0.318, 0.003)
 (4.486, 0.353, 0.003)
 (4.483, 0.388, 0.004)
 (4.480, 0.423, 0.004)
 (4.477, 0.459, 0.005)
 (4.473, 0.494, 0.005)
 (4.469, 0.529, 0.006)
 (4.465, 0.564, 0.007)
 (4.460, 0.599, 0.007)
 (4.455, 0.634, 0.008)
 (4.450, 0.669, 0.009)
 (4.445, 0.704, 0.011)
 (4.439, 0.739, 0.012)
 (4.433, 0.774, 0.013)
 (4.427, 0.808, 0.015)
 (4.420, 0.843, 0.017)
 (4.414, 0.878, 0.019)
 (4.407, 0.913, 0.021)
 (4.399, 0.947, 0.023)
 (4.392, 0.982, 0.026)
 (4.384, 1.016, 0.029)
 (4.376, 1.051, 0.032)
 (4.367, 1.085, 0.036)
 (4.359, 1.119, 0.040)
 (4.350, 1.153, 0.044)
 (4.341, 1.187, 0.049)
 (4.331, 1.221, 0.055)
 (4.321, 1.255, 0.061)
 (4.311, 1.289, 0.067)
 (4.301, 1.323, 0.074)
 (4.291, 1.357, 0.082)
 (4.280, 1.391, 0.091)
 (4.269, 1.424, 0.100)
 (4.257, 1.458, 0.110)
 (4.246, 1.491, 0.121)
 (4.234, 1.524, 0.133)
 (4.222, 1.558, 0.146)
 (4.209, 1.591, 0.160)
 (4.197, 1.624, 0.175)
 (4.184, 1.657, 0.191)
 (4.171, 1.689, 0.209)
 (4.157, 1.722, 0.227)
 (4.144, 1.755, 0.248)
 (4.130, 1.787, 0.269)
 (4.116, 1.820, 0.292)
 (4.101, 1.852, 0.317)
 (4.087, 1.884, 0.343)
 (4.072, 1.916, 0.371)
 (4.057, 1.948, 0.400)
 (4.041, 1.980, 0.432)
 (4.025, 2.011, 0.464)
 (4.010, 2.043, 0.499)
 (3.993, 2.074, 0.536)
 (3.977, 2.106, 0.574)
 (3.960, 2.137, 0.614)
 (3.943, 2.168, 0.655)
 (3.926, 2.199, 0.699)
 (3.909, 2.230, 0.744)
 (3.891, 2.260, 0.791)
 (3.873, 2.291, 0.839)
 (3.855, 2.321, 0.888)
 (3.837, 2.351, 0.940)
 (3.818, 2.381, 0.992)
 (3.799, 2.411, 1.045)
 (3.780, 2.441, 1.100)
 (3.761, 2.471, 1.155)
 (3.742, 2.500, 1.211)
 (3.722, 2.529, 1.267)
 (3.702, 2.559, 1.324)
 (3.682, 2.588, 1.380)
 (3.661, 2.616, 1.437)
 (3.641, 2.645, 1.493)
 (3.620, 2.674, 1.549)
 (3.599, 2.702, 1.603)
 (3.577, 2.730, 1.657)
 (3.556, 2.758, 1.709)
 (3.534, 2.786, 1.760)
 (3.512, 2.814, 1.809)
 (3.490, 2.841, 1.856)
 (3.467, 2.868, 1.900)
 (3.445, 2.896, 1.942)
 (3.422, 2.923, 1.981)
 (3.399, 2.949, 2.017)
 (3.375, 2.976, 2.050)
 (3.352, 3.002, 2.079)
 (3.328, 3.029, 2.105)
 (3.304, 3.055, 2.127)
 (3.280, 3.080, 2.145)
 (3.256, 3.106, 2.159)
 (3.232, 3.132, 2.170)
 (3.207, 3.157, 2.176)
 (3.182, 3.182, 2.178)
 (3.157, 3.207, 2.176)
 (3.132, 3.232, 2.170)
 (3.106, 3.256, 2.159)
 (3.080, 3.280, 2.145)
 (3.055, 3.304, 2.127)
 (3.029, 3.328, 2.105)
 (3.002, 3.352, 2.079)
 (2.976, 3.375, 2.050)
 (2.949, 3.399, 2.017)
 (2.923, 3.422, 1.981)
 (2.896, 3.445, 1.942)
 (2.868, 3.467, 1.900)
 (2.841, 3.490, 1.856)
 (2.814, 3.512, 1.809)
 (2.786, 3.534, 1.760)
 (2.758, 3.556, 1.709)
 (2.730, 3.577, 1.657)
 (2.702, 3.599, 1.603)
 (2.674, 3.620, 1.549)
 (2.645, 3.641, 1.493)
 (2.616, 3.661, 1.437)
 (2.588, 3.682, 1.380)
 (2.559, 3.702, 1.324)
 (2.529, 3.722, 1.267)
 (2.500, 3.742, 1.211)
 (2.471, 3.761, 1.155)
 (2.441, 3.780, 1.100)
 (2.411, 3.799, 1.045)
 (2.381, 3.818, 0.992)
 (2.351, 3.837, 0.940)
 (2.321, 3.855, 0.888)
 (2.291, 3.873, 0.839)
 (2.260, 3.891, 0.791)
 (2.230, 3.909, 0.744)
 (2.199, 3.926, 0.699)
 (2.168, 3.943, 0.655)
 (2.137, 3.960, 0.614)
 (2.106, 3.977, 0.574)
 (2.074, 3.993, 0.536)
 (2.043, 4.010, 0.499)
 (2.011, 4.025, 0.464)
 (1.980, 4.041, 0.432)
 (1.948, 4.057, 0.400)
 (1.916, 4.072, 0.371)
 (1.884, 4.087, 0.343)
 (1.852, 4.101, 0.317)
 (1.820, 4.116, 0.292)
 (1.787, 4.130, 0.269)
 (1.755, 4.144, 0.248)
 (1.722, 4.157, 0.227)
 (1.689, 4.171, 0.209)
 (1.657, 4.184, 0.191)
 (1.624, 4.197, 0.175)
 (1.591, 4.209, 0.160)
 (1.558, 4.222, 0.146)
 (1.524, 4.234, 0.133)
 (1.491, 4.246, 0.121)
 (1.458, 4.257, 0.110)
 (1.424, 4.269, 0.100)
 (1.391, 4.280, 0.091)
 (1.357, 4.291, 0.082)
 (1.323, 4.301, 0.074)
 (1.289, 4.311, 0.067)
 (1.255, 4.321, 0.061)
 (1.221, 4.331, 0.055)
 (1.187, 4.341, 0.049)
 (1.153, 4.350, 0.044)
 (1.119, 4.359, 0.040)
 (1.085, 4.367, 0.036)
 (1.051, 4.376, 0.032)
 (1.016, 4.384, 0.029)
 (0.982, 4.392, 0.026)
 (0.947, 4.399, 0.023)
 (0.913, 4.407, 0.021)
 (0.878, 4.414, 0.019)
 (0.843, 4.420, 0.017)
 (0.808, 4.427, 0.015)
 (0.774, 4.433, 0.013)
 (0.739, 4.439, 0.012)
 (0.704, 4.445, 0.011)
 (0.669, 4.450, 0.009)
 (0.634, 4.455, 0.008)
 (0.599, 4.460, 0.007)
 (0.564, 4.465, 0.007)
 (0.529, 4.469, 0.006)
 (0.494, 4.473, 0.005)
 (0.459, 4.477, 0.005)
 (0.423, 4.480, 0.004)
 (0.388, 4.483, 0.004)
 (0.353, 4.486, 0.003)
 (0.318, 4.489, 0.003)
 (0.283, 4.491, 0.003)
 (0.247, 4.493, 0.002)
 (0.212, 4.495, 0.002)
 (0.177, 4.497, 0.002)
 (0.141, 4.498, 0.002)
 (0.106, 4.499, 0.001)
 (0.071, 4.499, 0.001)
 (0.035, 4.500, 0.001)
 (0.000, 4.500, 0.001)
 (0.000, 4.500, 0.000)
