v114, 2024-07-13 07:07:59 -0600
v113b, 2024-06-20 11:20:18 -0600
v113, 2024-06-18 16:22:54 -0600
v112b, 2024-05-23 20:51:37 -0600
v112, 2024-05-19 07:34:01 -0600
v111, 2024-04-15 17:31:01 -0600
v110b, 2024-03-31 15:19:50 -0600
v110, 2024-03-20 16:40:15 -0600
v109, 2024-02-27 12:00:50 -0700
v108, 2024-02-12 14:26:53 -0700
v107, 2024-02-03 13:51:27 -0700
v106, 2024-01-17 19:21:09 -0700
v105, 2024-01-07 09:45:24 -0700
v104, 2024-01-01 13:05:51 -0700
v103, 2023-12-22 19:33:52 -0700
v102, 2023-12-20 12:06:45 -0700
v101, 2023-12-09 10:44:50 -0700
v100, 2023-12-08 09:26:06 -0700
v99, 2023-11-29 17:34:10 -0700
v98, 2023-11-28 10:06:31 -0700
v97, 2023-11-19 19:45:07 -0700
v96, 2023-11-14 16:41:21 -0700
v95, 2023-11-11 14:09:32 -0700
v94, 2023-11-09 10:35:09 -0700
v93, 2023-11-05 16:21:47 -0700
v92, 2023-11-03 07:42:53 -0600
v91, 2023-10-30 21:53:29 -0600
v90, 2023-10-28 16:30:40 -0600
v89, 2023-10-18 15:08:55 -0600
v88, 2023-09-30 15:06:57 -0600
v87, 2023-09-16 08:54:55 -0600
v86, 2023-09-14 16:51:41 -0600
v85, 2023-09-09 14:31:01 -0600
v84, 2023-09-01 13:29:34 -0600
v83, 2023-08-29 16:59:59 -0600
v82, 2023-08-27 12:52:12 -0600
v81, 2023-08-26 15:21:06 -0600
v80, 2023-08-23 15:31:22 -0600
v79, 2023-08-15 09:48:32 -0600
v78, 2023-08-10 11:07:53 -0600
v77.1, 2023-08-08 10:00:07 -0600
v77, 2023-08-07 14:26:28 -0600
v76, 2023-08-04 15:28:01 -0600
v75, 2023-08-02 19:24:23 -0600
v74, 2023-07-27 15:24:37 -0600
v73, 2023-07-27 12:01:20 -0600
v72, 2023-07-19 21:09:53 -0600
v71, 2023-07-08 20:41:04 -0600
v70, 2023-06-30 09:31:18 -0600
v69, 2023-06-28 17:22:34 -0600
v68, 2023-06-22 23:09:24 -0600
v67, 2023-06-15 23:16:57 -0600
v66, 2023-06-14 13:06:23 -0600
v65, 2023-06-10 17:57:28 -0600
v64, 2023-06-01 13:06:17 -0600
v63, 2023-05-22 10:34:36 -0600
v62, 2023-05-17 11:09:17 -0600
v61, 2023-05-07 06:44:03 -0600
v60, 2023-05-04 22:19:09 -0600
v59, 2023-05-03 20:42:02 -0600
v58, 2023-05-03 14:53:17 -0600
v57, 2023-05-01 13:04:34 -0600
v56, 2023-04-28 13:09:00 -0600
v55, 2023-04-27 15:08:14 -0600
v54, 2023-04-12 21:13:06 -0600
v53, 2023-04-10 20:34:00 -0600
v52, 2023-04-10 07:21:15 -0600
v51, 2023-03-30 22:45:42 -0600
v50, 2023-03-26 18:48:17 -0600
v49, 2023-03-24 19:28:48 -0600
v48, 2023-03-20 21:26:11 -0600
v47, 2023-03-17 19:23:11 -0600
v46, 2023-03-13 19:14:59 -0600
v45, 2023-03-09 18:37:00 -0700
v44, 2023-03-05 19:07:37 -0700
v43, 2023-03-04 20:32:57 -0700
v42, 2023-03-03 16:08:07 -0700
v41, 2023-02-26 08:00:09 -0700
v40, 2023-02-24 22:00:44 -0700
v39, 2023-02-21 17:30:21 -0700
v38, 2023-02-20 12:12:23 -0700
v37, 2023-02-18 16:00:16 -0700
v36, 2023-02-14 16:58:41 -0700
v35, 2023-02-08 09:46:12 -0700
v34, 2023-02-07 04:20:49 -0700
v33, 2023-02-02 07:49:31 -0700
v32, 2023-01-30 23:24:57 -0700
v31, 2023-01-29 19:12:19 -0700
v30, 2023-01-27 17:15:32 -0700
v28, 2023-01-10 21:24:50 -0700
v27, 2023-01-08 11:00:02 -0700
v26, 2023-01-06 21:33:52 -0700
v25, 2023-01-04 07:02:27 -0700
v24, 2023-01-03 21:12:26 -0700
v23, 2023-01-03 18:29:11 -0700
v22, 2023-01-02 21:11:30 -0700
v21, 2023-01-02 09:54:11 -0700
v19, 2022-12-30 12:19:24 -0700
v18, 2022-12-29 06:52:34 -0700
v17, 2022-12-27 16:23:54 -0700
v15, 2022-12-26 11:18:29 -0700
v14, 2022-12-24 00:44:24 -0700
v13, 2022-12-23 22:20:38 -0700
v12, 2022-12-23 13:57:55 -0700
v11, 2022-12-22 08:21:31 -0700
v9, 2022-12-21 04:56:16 -0700
v8, 2022-12-19 16:17:25 -0700
v7, 2022-12-18 13:01:34 -0700
v6, 2022-12-17 16:50:08 -0700
v5, 2022-12-16 20:31:28 -0700
v4, 2022-12-14 20:18:55 -0700
v3, 2022-12-14 13:08:47 -0700
v2, 2022-12-13 20:31:16 -0700
