"","race_entrant_f_idxs","race_entrant_f_times"
"397","43",9232
"398","90",5104
"399","48",6517
"400","95",6519
"401","73",5166
"402","19",5459
"403","60",5645
"404","90",5724
"405","65",5917
"406","100",6517
"407","12",6545
"408","51",6828
"409","58",7224
"410","43",9512
"411","2",17892
"412","70",2205
"413","100",2334
"414","105",2385
"415","29",2426
"416","17",2809
"417","95",2911
"418","73",2950
"419","44",3085
"420","45",3154
"421","12",3169
"422","35",3870
"423","43",4853
"424","100",3291
"425","29",4099
"426","44",4278
"427","58",4746
"428","65",4892
"429","61",5026
"430","95",5282
"431","94",6107
"432","69",6363
"433","48",7198
"434","2",10918
"435","105",3600
"436","91",4061
"437","100",4148
"438","65",4215
"439","44",4738
"440","16",4856
"441","6",4867
"442","26",5285
"443","5",5348
"444","94",6117
"445","30",6945
"446","107",7590
"447","43",9511
"448","105",3209
"449","60",3700
"450","90",3970
"451","26",4006
"452","94",4606
"453","58",4679
"454","19",4761
"455","16",4980
"456","44",5162
"457","5",5211
"458","95",5240
"459","45",5916
"460","48",5957
"461","105",4024
"462","60",4101
"463","58",4784
"464","26",5193
"465","45",5507
"466","5",6946
"467","33",11284
"468","100",3739
"469","29",3875
"470","95",5133
"471","90",3527
"472","29",4194
"473","96",4278
"474","4",4353
"475","64",4532
"476","73",4916
"477","72",5297
"478","68",6514
"479","65",4751
"480","29",5063
"481","73",6432
"482","72",7354
"483","96",7589
"484","48",8167
"485","91",2285
"486","29",2806
"487","65",3404
"488","26",3688
"489","73",4443
"490","90",4283
"491","4",4302
"492","17",4660
"493","64",5229
"494","96",5933
"495","6",5961
"496","98",6253
"497","100",3536
"498","105",3700
"499","26",3739
"500","60",3901
"501","19",4192
"502","65",4257
"503","96",4885
"504","36",5093
"505","105",5365
"506","4",5600
"507","58",7010
"508","29",4051
"509","90",4147
"510","4",4168
"511","61",4198
"512","100",4397
"513","84",4462
"514","96",4872
"515","31",4982
"516","17",5585
"517","29",3608
"518","65",3632
"519","100",3805
"520","96",4428
"521","90",5423
"522","61",5463
"523","31",6976
"524","29",4625
"525","91",5014
"526","65",5723
"527","95",6113
"528","22",8385
"529","23",12565
"530","2",13114
"531","65",2842
"532","90",2865
"533","91",2897
"534","100",2994
"535","73",3147
"536","29",3232
"537","96",3267
"538","34",3394
"539","94",3551
"540","95",3574
"541","12",3775
"542","5",3819
"543","26",3917
"544","45",3995
"545","60",4084
"546","4",4565
"547","78",5092
"548","3",5367
"549","43",5982
"550","30",6732
"551","4",4015
"552","60",4242
"553","96",4272
"554","26",4296
"555","73",4443
"556","16",4691
"557","105",4813
"558","4",4258
"559","90",4586
"560","64",6295
"561","90",3217
"562","82",3403
"563","64",4070
"564","17",4087
"565","6",4141
"566","22",4182
"567","70",2956
"568","60",3145
"569","100",3591
"570","90",3776
"571","5",4491
"572","94",4808
"573","96",5462
"574","58",5632
"575","78",6849
"576","100",3475
"577","90",3827
"578","105",4120
"579","95",3657
"580","17",4459
"581","107",7409
"582","29",2540
"583","4",2698
"584","100",2713
"585","91",2986
"586","90",3002
"587","16",3136
"588","58",3233
"589","44",3249
"590","94",3321
"591","5",3471
"592","34",3672
"593","98",4058
"594","96",4611
"595","12",4762
"596","6",4963
"597","48",5034
"598","81",5838
"599","31",6260
"600","78",7228
"601","107",7673
"602","96",5650
"603","94",6232
"604","95",7480
"605","60",3619
"606","65",3782
"607","29",3899
"608","100",4319
"609","91",4352
"610","16",4535
"611","12",4558
"612","96",4623
"613","90",4878
"614","93",4897
"615","31",4934
"616","5",5329
"617","94",5825
"618","36",5827
"619","1",6172
"620","8",6402
"621","30",8568
"622","29",3738
"623","65",4046
"624","91",4334
"625","58",4530
"626","16",4922
"627","12",5106
"628","81",5230
"629","72",5868
"630","93",5999
"631","3",7534
"632","48",7581
"633","22",7721
"634","30",8244
"635","76",11205
"636","43",12235
"637","60",3322
"638","90",3492
"639","100",3760
"640","24",4065
"641","58",4293
"642","96",5105
"643","93",5163
"644","16",5645
"645","5",4628
"646","22",5061
"647","4",5162
"648","59",6455
"649","65",3325
"650","29",3480
"651","100",3691
"652","60",3719
"653","12",3787
"654","90",3856
"655","88",4113
"656","96",4166
"657","4",4230
"658","26",4494
"659","5",4498
"660","48",4888
"661","94",4895
"662","31",5394
"663","16",5398
"664","36",5472
"665","22",5745
"666","95",5962
"667","55",8361
"668","3",9490
"669","44",4286
"670","105",4407
"671","90",4650
"672","96",4928
"673","60",5048
"674","94",5315
"675","5",5784
"676","93",6067
"677","90",3332
"678","4",3462
"679","26",3518
"680","96",3539
"681","65",3730
"682","22",3803
"683","24",4328
"684","17",4903
"685","78",4962
"686","59",5530
"687","2",7210
"688","100",2861
"689","60",2943
"690","18",3204
"691","91",3283
"692","22",3453
"693","4",3623
"694","65",3939
"695","55",3951
"696","81",3971
"697","48",4102
"698","96",4594
"699","105",2832
"700","4",2868
"701","100",3106
"702","65",3193
"703","60",3283
"704","96",3324
"705","90",3403
"706","81",3569
"707","95",3684
"708","59",4000
"709","93",4211
"710","78",6031
"711","65",3482
"712","16",3702
"713","60",3727
"714","96",3910
"715","95",4057
"716","90",4074
"717","81",4151
"718","93",4182
"719","45",5288
"720","96",5330
"721","81",6428
"722","16",7160
"723","40",7547
"724","55",8609
"725","93",10078
"726","58",10338
"727","44",3362
"728","24",3635
"729","4",3827
"730","26",4048
"731","72",4530
"732","17",5155
"733","59",6623
"734","29",2454
"735","18",2684
"736","44",2744
"737","24",2845
"738","96",3327
"739","72",3373
"740","4",3489
"741","105",3571
"742","29",3727
"743","96",4426
"744","4",4474
"745","18",4500
"746","44",4513
"747","91",5987
"748","55",6021
"749","105",2409
"750","70",2712
"751","18",2851
"752","29",2929
"753","61",3136
"754","4",3250
"755","44",3469
"756","22",3789
"757","70",3340
"758","44",4944
"759","91",5749
"760","35",8276
"761","18",3791
"762","65",3868
"763","29",3900
"764","4",4241
"765","91",4468
"766","98",4511
"767","61",4528
"768","88",4729
"769","16",4773
"770","93",4923
"771","19",4995
"772","51",5006
"773","95",5088
"774","55",5249
"775","58",5270
"776","42",5302
"777","96",5769
"778","12",6005
"779","5",6206
"780","72",6416
"781","94",6648
"782","101",6803
"783","52",7328
"784","8",8222
"785","107",8777
"786","21",9516
"787","29",3884
"788","18",4149
"789","91",4413
"790","96",4545
"791","42",5098
"792","95",5194
"793","61",5490
"794","12",5661
"795","93",6647
"796","72",7802
"797","5",4693
"798","93",5061
"799","78",5572
"800","59",8223
"801","100",3920
"802","105",3936
"803","29",4113
"804","95",4451
"805","65",4804
"806","96",4880
"807","55",5167
"808","3",7742
"809","83",7962
"810","100",4186
"811","24",4366
"812","29",4410
"813","60",4457
"814","105",4716
"815","10",5388
"816","96",5552
"817","35",8709
"818","24",3666
"819","57",4601
"820","4",4609
"821","72",5085
"822","64",6274
"823","59",9742
"824","22",9824
"825","48",10752
"826","68",5283
"827","44",6048
"828","18",2702
"829","91",3480
"830","4",3487
"831","65",3668
"832","91",3733
"833","100",3961
"834","71",4218
"835","65",4226
"836","60",4483
"837","1",4636
"838","61",4964
"839","4",5257
"840","42",5278
"841","45",5474
"842","58",5490
"843","96",5765
"844","59",6257
"845","93",6681
"846","60",3802
"847","93",3971
"848","58",4053
"849","44",4131
"850","105",4154
"851","96",4438
"852","44",2814
"853","57",2872
"854","72",3133
"855","17",3462
"856","58",4273
"857","60",4278
"858","44",6038
"859","44",2863
"860","60",3119
"861","65",3947
"862","55",4049
"863","90",4052
"864","58",4088
"865","34",4566
"866","24",2897
"867","17",2995
"868","57",3269
"869","4",3381
"870","72",3445
"871","58",4057
"872","64",4285
"873","22",4767
"874","17",4565
"875","58",4700
"876","44",4958
"877","100",2831
"878","60",2981
"879","90",3013
"880","57",3059
"881","16",3163
"882","71",3172
"883","18",3200
"884","44",3229
"885","4",3264
"886","65",3268
"887","55",3323
"888","96",3663
"889","58",3765
"890","12",3770
"891","95",3811
"892","93",3895
"893","31",4180
"894","3",4791
"895","78",4836
"896","59",5220
"897","30",5461
"898","90",3584
"899","58",3758
"900","95",4406
"901","96",5283
"902","55",5437
"903","93",6473
"904","57",2895
"905","18",3538
"906","44",3553
"907","95",4055
"908","58",4188
"909","93",4574
"910","105",2680
"911","55",2752
"912","60",2842
"913","58",2853
"914","44",2895
"915","95",3046
"916","24",2587
"917","44",3215
"918","58",3637
"919","18",2946
"920","29",3013
"921","105",3015
"922","44",3332
"923","93",3578
"924","71",3682
"925","5",3919
"926","12",3962
"927","98",4161
"928","101",4436
"929","65",4679
"930","94",4959
"931","58",4963
"932","89",5629
"933","3",6108
"934","29",2845
"935","65",2883
"936","58",3110
"937","93",3272
"938","44",3343
"939","5",3631
"940","78",4329
"941","2",5136
"942","65",4462
"943","60",4744
"944","58",5178
"945","93",5360
"946","60",3914
"947","65",4497
"948","93",5179
"949","55",5269
"950","45",5600
"951","16",5791
"952","95",6481
"953","58",3035
"954","16",3048
"955","105",3122
"956","24",3325
"957","55",3612
"958","96",3723
"959","45",3853
"960","35",4918
"961","29",3270
"962","93",3717
"963","65",3937
"964","5",4995
"965","35",5573
"966","3",6943
"967","2",7191
"968","58",3181
"969","44",4185
"970","93",4405
"971","91",4786
"972","60",5977
"973","45",6593
"974","58",6731
"975","73",7974
"976","44",3145
"977","96",3270
"978","3",4817
"979","70",3577
"980","24",3670
"981","55",3707
"982","57",3739
"983","44",3875
"984","60",3889
"985","59",6267
