(6.000, 0.000, 0.000)
 (6.000, 0.000, 0.000)
 (6.000, 0.047, 0.000)
 (5.999, 0.094, 0.000)
 (5.998, 0.141, 0.000)
 (5.997, 0.188, 0.000)
 (5.995, 0.236, 0.000)
 (5.993, 0.283, 0.000)
 (5.991, 0.330, 0.000)
 (5.988, 0.377, 0.000)
 (5.985, 0.424, 0.000)
 (5.982, 0.471, 0.000)
 (5.978, 0.518, 0.000)
 (5.973, 0.565, 0.000)
 (5.969, 0.612, 0.000)
 (5.964, 0.658, 0.000)
 (5.958, 0.705, 0.000)
 (5.953, 0.752, 0.000)
 (5.947, 0.799, 0.000)
 (5.940, 0.845, 0.000)
 (5.933, 0.892, 0.000)
 (5.926, 0.939, 0.000)
 (5.919, 0.985, 0.000)
 (5.911, 1.032, 0.000)
 (5.902, 1.078, 0.000)
 (5.894, 1.124, 0.001)
 (5.885, 1.171, 0.001)
 (5.875, 1.217, 0.001)
 (5.866, 1.263, 0.001)
 (5.856, 1.309, 0.001)
 (5.845, 1.355, 0.001)
 (5.834, 1.401, 0.002)
 (5.823, 1.446, 0.002)
 (5.811, 1.492, 0.002)
 (5.800, 1.538, 0.003)
 (5.787, 1.583, 0.003)
 (5.775, 1.629, 0.004)
 (5.762, 1.674, 0.005)
 (5.748, 1.719, 0.006)
 (5.735, 1.764, 0.007)
 (5.721, 1.809, 0.009)
 (5.706, 1.854, 0.010)
 (5.692, 1.899, 0.012)
 (5.677, 1.944, 0.014)
 (5.661, 1.988, 0.017)
 (5.645, 2.032, 0.020)
 (5.629, 2.077, 0.024)
 (5.613, 2.121, 0.028)
 (5.596, 2.165, 0.033)
 (5.579, 2.209, 0.039)
 (5.561, 2.252, 0.045)
 (5.543, 2.296, 0.053)
 (5.525, 2.340, 0.061)
 (5.507, 2.383, 0.071)
 (5.488, 2.426, 0.082)
 (5.468, 2.469, 0.095)
 (5.449, 2.512, 0.109)
 (5.429, 2.555, 0.126)
 (5.409, 2.597, 0.144)
 (5.388, 2.640, 0.165)
 (5.367, 2.682, 0.188)
 (5.346, 2.724, 0.213)
 (5.324, 2.766, 0.242)
 (5.303, 2.808, 0.273)
 (5.280, 2.849, 0.308)
 (5.258, 2.891, 0.346)
 (5.235, 2.932, 0.388)
 (5.212, 2.973, 0.433)
 (5.188, 3.014, 0.483)
 (5.164, 3.054, 0.537)
 (5.140, 3.095, 0.594)
 (5.116, 3.135, 0.657)
 (5.091, 3.175, 0.723)
 (5.066, 3.215, 0.794)
 (5.041, 3.255, 0.868)
 (5.015, 3.294, 0.947)
 (4.989, 3.333, 1.030)
 (4.962, 3.373, 1.117)
 (4.936, 3.411, 1.208)
 (4.909, 3.450, 1.301)
 (4.882, 3.488, 1.397)
 (4.854, 3.527, 1.496)
 (4.826, 3.565, 1.596)
 (4.798, 3.603, 1.698)
 (4.770, 3.640, 1.800)
 (4.741, 3.677, 1.902)
 (4.712, 3.715, 2.004)
 (4.683, 3.751, 2.104)
 (4.653, 3.788, 2.201)
 (4.623, 3.825, 2.296)
 (4.593, 3.861, 2.386)
 (4.562, 3.897, 2.472)
 (4.532, 3.932, 2.553)
 (4.501, 3.968, 2.627)
 (4.469, 4.003, 2.694)
 (4.438, 4.038, 2.754)
 (4.406, 4.073, 2.806)
 (4.374, 4.107, 2.849)
 (4.341, 4.142, 2.883)
 (4.309, 4.175, 2.907)
 (4.276, 4.209, 2.922)
 (4.243, 4.243, 2.927)
 (4.209, 4.276, 2.922)
 (4.175, 4.309, 2.907)
 (4.142, 4.341, 2.883)
